Filename,Codegen(ms),Compile(ms)
eris1176,5761,465
std1_Jac3,888854,467
lp_wood1p,482,415
jendrec1,57103,464
lowThrust_5,108485,467
hangGlider_4,119675,468
brainpc2,144438,468
hangGlider_3,58393,467
lowThrust_7,124692,467
lowThrust_11,140106,467
lowThrust_3,23087,465
lowThrust_6,118180,468
lowThrust_12,141734,468
hangGlider_5,126374,468
Journals,262,164
bloweybl,2298616,468
heart1,10632,1316
TSOPF_FS_b9_c6,423232,468
Sieber,1800,414
case9,423528,468
c-30,8393,515
vsp_c-30_data_data,36440,465
c-32,53745,467
freeFlyingRobot_10,5224,465
freeFlyingRobot_11,5576,415
freeFlyingRobot_12,5858,414
lowThrust_10,138114,468
lowThrust_13,141553,468
lowThrust_4,82881,468
lowThrust_8,129532,468
lowThrust_9,135004,417
lp_fit2p,27958,464
nd12k,234275,517
std1_Jac2,695446,568
